username;title;model;verified;date;region;text;stars
Randy Savage;Doesn't get any better than this;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;December 30, 2019;United States;"
I have had this keyboard for about 4 months and have nothing bad to say about it. It look really good with the RGB lights and some of the light functions are pretty cool. The board itself seems like it's made with quality parts that are tough and able withstand my abusive hands. I use it for gaming and it makes it much more of a enjoyable experience.  You get what you pay for.
";5.0
bk;Works great - Apex 7 TKL Brown;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;October 27, 2021;United States;"
The Apex 7 TKL Brown switches work great. The bigger keys like shift and space bar are kinda loud if you press hard and fast. The colors are great and the software for it is good also
";5.0
Daniel;Great Keyboard;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;April 11, 2021;United States;"
I've only had one other *real* gaming keyboard before this one and this one I like a lot better. It's easy to type on and its led's are bright. Also the OLED pannel is fun to play with. Overall, I don't think I'll be buying another keyboard in a while.
";5.0
ej;Yes- Buy One. You Won't Regret It!;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;May 10, 2021;United States;"
I bought this for my son. OMG, I freaking want one and don't even have a need for it!The colors and light patterns are mesmerizing. It's a compact size. It's got a good solid weight to it, but isn't heavy.You will love it!
";5.0
Cheyanne;great but loud;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;December 7, 2020;United States;"
A little louder than expected, but the keyboard is very nice. i’ve had it for about a month now and i really like it! it looks very pretty and all the color options are great.
";4.0
Van Hilgendorf;Great keyboard with no major downsides;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;April 18, 2020;United States;"
I love the smooth but tactile feel of the switches. The wrist rest is not like a pillow, but I have grown to like it a lot. The only negative I have is the cable is very stiff and thick. It was hard for me to route it through my desk because of how chunky it is. Otherwise, a very solid and worth it buy!
";5.0
Carla;Great gift for PC gamers;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 15, 2021;United States;"
Perfect gift for those who want some color and light to their computer set up. The light colors are customizable and the keys are not as loud and annoying as other models. Bought this as a present and he loves it!
";5.0
Karl B.;Good performance and high end materials;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;August 21, 2019;United States;"
Pros:  Great feel to the Cherry Mx Blues, software are easy,  5 profiles, high end materials,  usb pass throughCons:  wrist rest very hard and kind of painful. If it slopes down like the Corsair K65 then it would be better.
";4.0
Amazon Customer;Easy To Use.;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 24, 2021;United States;"
Bought this for my son and he loves the bright colors on the keyboard & the sound it makes when he types. I believe you can also change the colors. According to him (15 yrs old) it's awesome.
";5.0
Christopher James Goetz;Why haven't I always had this Keyboard?;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;January 31, 2020;United States;"
This is aesthetically gorgeous, feels amazing, and works incredibly well. There's always a bit of a honeymoon with a new piece of tech--usually a couple days. I still find myself looking down, feeling the texture of the steel frame. Everything about this is clever, well designed. The RGB effects are easy to set up and work on a Mac. Very happy with this purchase.
";5.0
Matt;Amazing premium feeling keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 23, 2021;United States;"
very nice keyboard i  love the screen and having it show my temps, I just wish that the software explained better how to create apps for your own games to create one for valorant and other games.
";5.0
Ihab Abdelhady;Perfect;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;September 17, 2022;United States;"
I love everything about it.
";5.0
peijiangao;Best Mechanical Keyboard I've Owned;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;December 6, 2019;United States;"
First off, this was the first mechanical keyboard that I have ever owned. I am very pleased and happy with this purchase. I chose the brown switches because I've heard that they're good for typing and gaming overall. The rgb is consistent and you are able to change it with the steelseries software. The oled display is a cool feature to have. Overall, 10/10
";5.0
Rachel;very good keyboard;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;December 29, 2020;United States;"
Sounds, looks, and feels nice it’s the first keyboard I’ve ever had and it hasn’t disappointed me
";4.0
Harry Betancourt;Excellent Keyboard;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;April 26, 2021;United States;"
I've been using this keyboard for 2 months. It's fast, not too noisy. I can play when my wife is sleeping, I couldn't do that before with my previous keyboard. Very responsive
";5.0
David Maldonado;Really good;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;November 26, 2020;United States;"
Instantly fell in love with this keyboard.  I got it soon after my first keyboard I ordered already started to bug out. I love how your anle to customize the colors as well as add a little image as shown in the picture.
";5.0
H;OLED has coil whine noise;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;March 6, 2020;United States;"
The OLED part of the kb has a coil whine like high pitch noise, noise is different with different backlight intensity, I might won a lottery here but apart from that, great switch, great feelings
";4.0
Benjamin Carle;Great key board;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;June 27, 2020;United States;"
i got carpel tunel form using this keyboard for only a week. Ive never had this happen before, and i game alot like alot. My old keyboard was a razer and the wrist strap was so confortable better than this rest. Could improve on the wrist strap
";5.0
Matthew Jude;Fantasic Keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;July 25, 2019;United States;"
It is a bit of a transition going from razor green switches to red switches but its compact, durable, the LEDs are fantastic!  An all around great keyboard.
";4.0
B Simmons;Grandson loves it!!;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;July 31, 2021;United States;"
Just bought this for my 12 grandsons birthday.. he's is over the moon with it. Hopefully it continues to be a hit
";5.0
zion;Good keeb;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 4, 2021;United States;"
Good keyboard,comfortable,good for gaming and worth it imo
";4.0
Hunter;Pretty and preforms well;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 16, 2021;United States;"
Looks amazing but I’m still getting used to the change in switches after using membrane my whole life. So far feels amazing and am adjusting quickly
";5.0
Eloisa Reyes;Very nice;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;April 1, 2021;United States;"
Love it! The size is perfect and the materials are definitely super nice. It's very comfortable with the smooth wrist rest too
";5.0
Ken Rosenberg;Love the tkl makes alot more space for mouse movement;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;October 12, 2021;United States;"
If youre looking for a small and portable tkl id recommend
";5.0
Adam;Excellent form factor - less than crisp keys;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 26, 2020;United States;"
If you are picky about mushy keys just get something with Cherry's
";4.0
Carol Kramer;Son loved it;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;August 8, 2021;United States;"
Work wonderfully was very cool and had a lot of customizing options
";5.0
Carter Bourgois;Great buy!;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;May 29, 2021;United States;"
I love the durable cord that this comes with but I do wish it was detachable
";5.0
Reyes;The alpha of keyboards;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;October 14, 2020;United States;"
Perfect for gaming and anything else that involves a keyboard. Super easy to use features, not to heavy but heavy enough to be stern and still. Really comfortable too.
";5.0
