username;title;date;region;text;stars
Jayme Pechan;Finally one I like;December 26, 2023;United States;I have had various other brands over the years and they all suffered from the same stupid software issues. Here are the things that I have noticed that the S8 does better than all the other ones I have tried… 1) the mapping mode would just enter the room and look around. It didn’t have to cover every square inch like the others. So the full map only took a couple minutes. When it finished this, I asked my wife… did it even do it? So she showed me the map in the app. Omg, it was awesome. 2) its auto breakdown of the rooms was not great but I was able to merge everything together and split at better locations. My wife struggled with this but it wasn’t bad and only needs to be done once. Compared to others, this was simple. 3) it finds the walls and obstacles without running into them. My wife has had to paint the baseboards so many times over the years because the other brands would just constantly run into the walls. This one doesnt even run into a balloon on the floor. How cool. 4) i had to pause and move it once. Other brands would be completely lost at that point and would not make it home. The S8, figured out where it was and picked up where it left off. Omg amazing. 5) it is only one machine and would vacuum and mop on the same pass. Its hard to describe how much faster it is this way and it works well. 6) it is so quiet compared to the other ones i had. Although I haven’t tried, i could probably do a conference calls while this is busy in the same room. Most of my house is tile with bedrooms carpet and we out a rug in the living room. Works well on all these. I was commenting to my wife that this is the first one I actually like. The others were noisy and irritating and she would have it run all day.;5
George M.;My roborock stopped working several weeks ago;February 14, 2024;United States;While the robo was working it did a good job. Do to my wife's stoke she is unable to help care for our home. It was very helpful in keeping the floors clean. Make long story short I took the implications of roborock support distasteful I felt insulted by thier instruction on returning the item for repair. So, I gave the roborock a decent burial and trashed it. This is the third time had problems with high dollar purchases. I don't blame your company I blame the companies and delivery service for broken items two of which I repaired after they arrived. Im considering local direct buy only on high dollar items.;4
Pyre8;It does a fantastic clean up!;May 2, 2024;United States;;5
Adil Hussain;Never mop or vacuum again;April 1, 2024;United States;;5
Stephanie S.;Best robot vacuum purchase I have ever made (and I've made a few);January 6, 2024;United States;"They say you get what you pay for, and it's never been more true for me than with this purchase. This is my 4th robot vacuum (2 Ecovacs and 1 Roomba previously), and this one far outshines its predecessors (it also was the most expensive). But it has been worth every single penny. I have two large dogs (a St. Bernard and a Golden Retriever), and they shed like it is their JOB! All previous models got the hair tangled up in the brushes/wheels (both), or the suction wasn't strong enough to empty the bag into the base (Ecovacs), or they didn't do a great job (both) - but this one has been phenomenal. It does an amazing job picking up all debris, dirt, and dog hair, and I've had no jams at all. The brushes detangle themselves, and the main multi-directional wheel is easy to remove, so if/when hair does build up there, I can just pop it out to clean (the Roomba had this, too; Ecovacs did not). The mopping feature works really, really well and I LOVE that it dries the mop head so no smelliness. My Ecovacs (supposedly) mopped, too, but it did such a poor job that I never used the feature. Plus, it had to run separately from the vacuum (attach mopping head). This one is all built-in and does an all-in-one. It actually ""lifts"" the mop head out of the way when it detects carpet. The app is great; scheduling is a breeze. It doesn't ""lose connection"" to my network constantly (looking at you, Roomba), and it displays a very accurate map, allowing me to see just what has been vacuumed/mopped. All-in-all, I couldn't be more pleased with this product, and I highly recommend it to anyone who wants the best and is willing to pay the price for it. I would buy it again. No question.";5
BRLbeleza;Great robot!;January 30, 2024;United States;It’s louder than I expected and talks a lot, announcing its actions lol but it cleans fantastically. I moved into an apartment with vinyl tile flooring and hadn’t yet mopped or vacuumed in 2 months. There were little bits of cardboard and tape from cutting moving boxes open and a few crumbs in the kitchen and some visible dust bunnies throughout the space. I ran it for the first time yesterday evening. It mapped the space well and got to work. It ran for a bit, announcing it was cleaning the mop 2 or 3 times but when it announced it was done and returning to the dock I was truly impressed. It collected everything. The main brushes jammed once but it was a breeze to remove the item and reinstall the brushes. The only thing I’m not wowed by is the Roborock app but I’m figuring it out. It was definitely a splurge that I’m still paying for but so far I’m delighted with it. This is my third robovac/mop and by far the most expensive one I’ve tried. Unlike others I’ve had, this one did everything itself. No installing a mop pad or cleaning it or guiding the robot around obstacles or picking it up to have it run over an area a second time… outside of clearing the jam I did nothing. They’ve engineered a really terrific machine here. Recommended—if it’s within your budget this is the one to get!;5
W. Stebler;SO much better than iRobot;December 24, 2023;United States;I've had an iRobot J6+ vacuum (the one with a camera specifically made to avoid pet poop) for a few years now and although I've been generally pleased with how the iRobot cleans, the robot's ability to navigate is simply horrible. I've watched in amazement many times as it seemed to turn back and forth randomly as if completely confused. Sometimes it comes out of the dock and immediately gives up trying to go to a room that is clearly on its map. Crazy. The Roborock S8 Pro, which uses Lidar, maps the entire space in about 10 minutes and flawlessly moves around the house without hitting things continuously. It still has trouble from time to time, but in general it operates so much more intelligently. The app and capabilities are much more advanced as well. Vacuuming is good - at least equivalent to the iRobot. Mopping is decent, but the mop is not exactly as wet as I would like it to be. If the floor is not flat, it can miss certain areas.;4
Sharon Capizzi;Good but not great so far;December 15, 2023;United States;I have been using the roborock 8s pro for about 3 weeks. Overall, it seems to mop & vacuum really well especially on the highest setting. I have about 1300sf of polished Travertine and it is shiny after a mopping on high! It makes really well with a minimum of adjustments to separate rooms and delineate where rugs are and no go zones. ( I even did a no go zones around the Christmas tree skirt and it worked perfectly! The only 2problems I have experienced is 1 major and 1 minor. The minor is that it has a bit of a problem getting up into an area low pile rug in my LR but it does finally make it. The MAJOR problem I have is that it is not self evacuating the dust bin. I have been in contact with tech support regarding the problem. They were very nice on the phone and then send you a bunch of pictures for you to compare how yours is set up and how it should be which was helpful but didn't fix the problem. Apparently there is some magnet on the dust bin that is necessary and perhaps I don't have it. That part was never made clear but they offered to exchange it for a new one. I did ask if it was a refurbished unit and they said it would be new. In the end I chose to return it thru Amazon as I felt I should stay protected by the return policy in case there was any warranty issues. I'll adjust my post when I get and use the new one thru Amazon.;4
David T.;S8 Ultra Pro is Almost Perfect;October 26, 2023;United States;I've had the S8 Ultra Pro for almost 3 months now, and it's the best all-around robot vacuum I own. I also run 3 other robots: the Ecovac Deebot T8 AIVI, an iRobot J7+ combo, and another iRobot J7+. The S8 Ultra excels in several categories: 1. Reliability: It doesn't get stuck or lost, with the Ecovac T8 as a close second. The iRobots often require placement on the dock at least once a week. 2. App and Mapping: The S8 has the best app and mapping capabilities, with the iRobot coming in a distant second. The Ecovac T8 struggles with mapping as they get deleted randomly. 3. Mopping: The S8 is the best mopping robot, while the iRobot J7+ combo falls way short in this aspect. 4. Vacuuming: The S8 excels in all-round vacuuming, although the iRobots perform better on carpet, and the Ecovac T8 is slightly better on hard floors. 5. Dock: The S8 boasts the best dock, whereas the Ecovac T8 has the worst. 6. Navigation: The S8 has the best navigation, with the Ecovac T8 as a close second, while iRobot's navigation is subpar. 7. Obstacle Avoidance: Surprisingly, the iRobot performs best in obstacle avoidance, but it tends to bump into walls and furniture. The S8 and Ecovac T8 rarely touch any obstacles. However, there was a disappointing incident when my S8 vacuum ran over a pet mess. After cleaning it thoroughly, it's back in action. But it’s frustrating my very expensive robot failed with the pet waist. Overall, the S8 remains the best robot in my collection, but I wish the liquid bins were larger as I have to fill/empty them every two cycles. Doubling their size would be ideal.;4
Kyle Bellflower;The BEST!;April 7, 2024;United States;I was back and forth on spending so much money for a robot mop/vacuum and waited for the price to drop ( got it for $999) This thing is amazing. We’ve had no issues with it. If you’re on the fence like I was for 10 months pull the trigger. You will not regret it.;5
Madyl;Product is good and hopefully will get more features in future;March 24, 2024;United States;I did like the concept of this product but currently it is too expensive so I will wait for some time before buying an advanced version;4
Jason Chamberlain;A very intelligent robot vacuum/mop;August 30, 2023;United States;"I have been a Roomba user for many years, and still own 2 but my Roomba S9+ has become increasingly unreliable with software updates, so I moved it to a less challenging floor and purchased the Roborock S8 Pro Ultra+ for my main 1000 sq. ft. floor after reading many reviews. So far (11 days and about 10 cleaning runs in) so good. This is by far the most intelligent robot cleaner I have ever had, and it's almost spooky in action. To begin with, its mapping feature is excellent (far superior to my best Roomba)! One run on fast mapping, and it had all the rooms (7) correctly laid out. It correctly identifies bare floors (and wet mops them) and carpets where it increases the vacuum power and retracts the mop. If I didn't watch it in action, I might not have believed it could really do that. So I can send it into a room with bare floors with throw rugs with no problem. At the beginning and end of a run it cleans the built in mop, sending dirty water to tank for that purpose, loading clean water into the robot, then it air-dries the mop. Lastly it sucks out dirt from the vacuum filter receptacle and starts the recharge process. It clearly announces it is going to do each of these steps (which fascinates my cat.) So... Pros: Hands free automated floor cleaning of varied surfaces (doesn't get stuck and it doesn't damage my oriental rugs, either) Cons: User interface for initially customizing the map is difficult to use; User interface for setting up selective cleaning jobs (this room or that room kind of thing) is also a little unfriendly - takes some fooling around to get those straight; Oddly doesn't warn you when your fresh water tank is empty. Other than that - GREAT product";4
ryan flournoy;Actually Not That Great;March 11, 2024;United States;My dogs rarely make a mistake inside but this does not recognize pet messes and it will spread poop. The mop portion isn't good at all. My floors are hand scraped wood so it's wavy and the mop cannot get in the very shallow valleys so I have to clean the dog paw prints myself. The vacuum portion isn't great at all. I frequently have to go over areas with a stick vac that performs far superior. It gets stuck on cords, shoe laces, corners of rugs, socks, t-shirts, in actual corners with no obstruction, kitchen tables, chairs, etc. I've had to move it away from a corner because it thought there was a cliff or it was out of bounds. For the price I would not purchase this again. You set it to run while your out and 5 minutes in it's stopped because it thinks your living room suddenly developed a cliff or a sock that the dog pulled out clogged the rollers. Then it needs to charge again because just sitting there giving an occasional notification is enough to burn the battery down. Which brings me to my final point, it cannot clean the 1400 Sq. Ft. area without running out of battery. So it docks, charges, then kicks off again several hours later once it's charged. Why bother with a schedule if it's gonna clean throughout the day because the battery is weak?;3
Suzette Sneath;Much better than Top of line Roomba products;September 9, 2023;United States;We have a pretty large house, so I needed two roomba i8 vaccums and 2 roomba m6 moppers to get the downstairs cleaned (without it taking 8 hours). One of my braava m6s stopped working, and it was less than 1 year old. Out of frustration, I decided to try a new product and purchased the Roborock s8 pro ultra. Originally I figured I would just use mopping feature and keep my roomba vaccums. I am so glad I switched to this s8pro ulta. The vacuuming is fantastic, and the mopping capability is far superior to braava. So many features that make this a way better product that I didn’t even think about before. The fact that I don’t have to change the mopping pad everytime is so nice! With a separate vacuums and mopper system you have to let the machines run almost all day so each one finishes their job before the next one starts. Way better and more efficient to have one machine do one pass throughout the home and handle both vacuuming and mopping. The s8pro ultra is actually more quiet than the roomba too which is really nice. I think the most important feature for me so far is that Roborock can ran at night while everyone is sleeping. Roomba would never run at night as it needed light and that was a huge downfall. Roborock did wonderful last night in the dark! I know this price tag is a lot, but I wish I would have purchased this in the beginning as I would have saved money in comparison to roomba products. The mapping feature in Roborock is way better and takes no time at all! I was also worried about my rugs getting wet with the mopper system. We have really expensive and thick rugs throughout the house. One thing I didn’t realize about the Roborock until after I purchased it was it has the ability to start and go right to vacuuming the rugs first, then it will do mopping afterwards so you don’t have to worry about that. I did check to see if any rugs were damp or wet after switching from hard floor to rugs and nothing! Our rugs are about 1/2 inch thick, so again I was extremely impressed. I absolutely love this machine and highly recommend this to anyone looking or on the fence about what product to purchase. I hope it continues to perform as well as it has in the last 24 hours. Hoping they come out with a robot to do laundry next! 🤣;5
Austin;Best Customer Service;March 15, 2024;United States;;4
A. Antonio;Waste Your Money On the Other Brand and Then Buy This One;December 4, 2023;United States;I saw the prices for the Roborocks and balked. I couldn't justify paying that, so I bought the other big name brand. At first it did a decent job, but it was never perfect. Why? - It never finished a run. It almost always got stuck somewhere and needed to be rescued. - Parts wore out faster than I would have liked. - It often thought the bin was full when it was just dirty. - The mop (separate unit) had to be cleaned every other time and cleaned every time. Finally the vacuum stopped emptying. After looking online, I had to take the stupid thing apart and clean parts of it. That helped for a while, but then one of the rollers jammed, it didn't know, broke, and started spinning in the broken mounting. What happened? It got so hot the plastic melted. I can only imagine if I hadn't smelled it, the possibility of a fire would have pretty good. That was the last straw. I bit the bullet and bought this beast. After a week I learned that buying the other was a total waste of money. How is this better than the other guys? - Mapping is far superior. - Setup is easier - This never gets stuck - The mop actually cleans the floors (the other seemed like it pushed dirt around) - If this says the bin is full - the bin is full. - This goes places the other one wouldn't. - I have a GSD. This has pulled up a SHOCKING amount of hair, I didn't even know was in the carpet. - This cleans much better. - This one is quieter when it runs and much quieter when it empties. - The other one would get lost and good luck finding it. This one shows you on the map if you accidently shut it in the bathroom. - Real time tracking of the cleaning job Time will tell if this holds up well, but so far it's miles and miles beyond the other big name robot vacuums.;5
LarryTru;Works great!;April 1, 2024;United States;;5
Ben;Amazing robor;March 18, 2024;United States;;5
Tanmay;Will not connect to wifi if the password has special characters;November 27, 2023;United States;"I was forced to change my wifi password to not use any special characters (which is recommended to make the password stronger) there by having to choose a weaker password. Moreover had to reconnect over 70 devices (laptops / phones / tv / speakers/ security system / smart switches , plugs / smart devices ) .. pretty much every single thing connected to wifi because this fancy $1600 worth of floor cleaning robot won’t work unless I change the password . Moreover here’s the official troubleshooting instructions that were sent by manufacturers Helpdesk 🤷‍♂️some of which advise changing routers DNS/encryption/IP address . This is a bit too much to get a vaccum/mop to work - Our devices don't support 5GHZ wifi. If your set-up steps are correct but it's still not connecting, try methods below: 1. Please go to google play or app store to check if your Roborock app is latest. If not, please upgrade it to latest one and try to connect wifi again. 2. Make sure the password of your wifi you've input is correct. 3. Don't use an android tablet, iPad, iPhone 5 or iPhone 5C to connect the robot as there might be a compatibility issue. 4. Enable location permission for the app. See attached picture. 5. If you're using IOS 14 or later systems, please enable local network for the app. See attached picture. 6. Pay more attention to the select wifi step. See attached picture ""select your home wifi"". 7. If there are special characters like !@#$ in your wifi name or password, it's suggested to remove them in the router settings. 8. The robot doesn't support WEP encryption mode. If your wifi is WEP, change it to WPA or WPA2. 9. If you understand the router's setting very well, try to change DNS to 8.8.8.8 in the router's settings page. 10. Reboot your device and router and try again. 11. If your phone's cellular network or VPN is enabled, please disable them and try again. 12. Check if your router's IP address is 192.168.8.1. If yes, please change it to other IPs like 192.168.9.1 and try again. If none of those solves the issue, please download another app called Mihome to try the connection one more time.";3
WeidonYan;The best product I bought in 2024;April 12, 2024;United States;;5
TH;Amazed;March 23, 2024;United States;I bought this Roborock with a lot of doubt. I am so shocked at how well it cleans. Each morning when we come in to the office, it’s like the entire floor has been swept and polished. I am so impressed with this machine! If you have hardwood or laminate floors, get one of these. You won’t be disappointed.;5
Mark Busalachi;Best cleaning appliance ever purchased.;January 7, 2024;United States;Well I have to start out by saying, yes this beast is pricey however worth every penny! I have owned the competition for several years but nothing compares to Roborock. This is a well developed product that operates beyond expectations. My carpets and floors are very well cleaned and I.have had not one issue with this robot. I get the maintenance on it, because being an engineer of sorts, any product of this caliber need to be maintained thoroughly. Regularly cleanings, tanks, cleaning brush and filters a must but really it only takes about 20 minutes to complete. Usually once a week on a Sunday, I wipe it down completely, pull the brushes and rollers and clean the hair that builds up on the stems. Other than that, cleaning the dirty water tank regularly keeps the unit from foul smells and buildup. Would purchase again if new model immerges but very happy with this one. Also would like to say, with any robot vacuum, you absolutely need to prep your home for the scheduled operation of this device. Making sure no wires are left on the floor, if pets live there, make sure there is no droppings or vomit on your carpet or floors and just pick up anything that might be a hazard to your robot. Other than that, would totallly recommend this product if affordable to you.;5
Charles H.;WHEN WORKING - ITS AMAZING, HOWEVER BAD FOR PET TOY OBSTACLE AVOIDANCE.;December 28, 2023;United States;This product works super well, ONLY when all goes well. More floors have never been cleaner. HOWEVER, THERE IS A MASSIVE DESIGN FLAW! Unfortunately, this product has HORRIFYINGLY TERRIBLE obstacle avoidance for small objects, cords, & strings. I wish it had a feature to perhaps reverse the rotation of its suction brushes to unjam itself. I have a cat who likes to take out her toys and puts them all over the floor when I am not home. She's a kitten, so she wants to play and it would be wrong to curb this behavior. Because of the Roborock absolutely terrible obstacle avoidance, even if they claim it is so much improved, it is horrifyingly bad for such an expensive vacuum. Everytime my cat takes her string toy out (which is a daily occurance) it will end up jammed in the feeder. It is now at the point, that I must be home to monitor it - at which point I might as well just vacuum and mop myself. I like for it to clean when I am not home, so I don't need to hear the loud noise. But, now it is at a point where everytime I leave I have to make sure everything is off the floor or it will jam up and I'm scared will eventually break the product. They really need features to fix this as most homes will have something like this eventually. Also, the rotating bristles that draw in the dirt, bend within a very short amount of time of using it. I read about this in many reviews& recommended to buy a separate bristle online that works better, but now I totally see it first hand. That being said - all around, its a great product, I just wish the obstacle avoidance was a lot better.;3
Tarasa Escoubas;Best purchase of the year!!!;January 11, 2024;United States;Love my Roborock s8!!! I have been watching it since it was released and wanted to wait until there were a bit more reviews before making this investment. I purchased around the holidays so it was discounted down to 1199. Now that I own it this smart device I would have definitely paid full price. Its such a time saver and it works great. I do walk around and make sure that things are picked up but it will notate things on the map if it finds things it doesn't expect. The mapping is so easy & it improves every time it runs. This saves me many many hours each week in vacuuming and mopping.;5
Scott196941;Cool features - not as smart as it should be for the $$;January 6, 2024;United States;It has great features like cliff sensor and smart object avoidance which it does well. I like the robot in general and it’s my first experience with one. The problem is the path it takes makes absolutely no sense and is not efficient. I set it to vacuum first, then mop. It goes through the vacuum cycle (unfortunately, it goes over and over areas where it makes no sense and it acts confused). Then when it goes to mop the hardwood, it will randomly go back to sweeping carpet that it has already swept in rooms 2 rooms away from the mopping rooms (it does this multiple times and makes no sense). I have high pile light colored carpet and I don’t want the wetness from the mop on the carpet. So this feature doesn’t work properly. Because it goes back to sweeping carpet and goes over the same path multiple times (I counted that it went over the same path 6 times on multiple occasions like it’s confused) when it should be mopping, I found myself stopping the entire cycle and simply using the clean a specific room feature. The biggest reason I stopped this unnecessary sweeping was because the battery life is poor. I get 1hr 20 mins before it has to recharge. I have 1,500 sq ft on the first floor so it has to charge 4 times and it takes at least an hour to recharge. I started the cycle at 9:30am and it didn’t finish until 6:30pm. This is why I gave this robot 3 stars. For $1,500+, this robot should be smarter and more efficient than it is. I don’t feel like I can start it when I go to work and have the house be done by the time I get home. Instead, I have to manage it. I could’ve paid for a $800 robot for that hassle.;3
briggs in MI;Works well for sweeping and light mopping.;October 8, 2023;United States;Works very well for sweeping and light mopping. Floors look clean and dust free afterwards The only issue I’ve run into after owning it for 4 months is I keep getting the message to “Check for Air Duct blockages and empty the DustBin”. When I look the Air Duct is blocked and the dustbin is full. I empty and unclog them, but it just keeps happening again. It happens at least every other sweeping and since it requires me to disconnect the power to the dock, turn it upside down, unscrew 3 screws to access and unblock the duct, while doing so, dust and debris are spread all over, negating the dust free, hyper allergenic disposal system. This process is quite inconvenient, dirty and time consuming. I have it set to vacuum twice a week, mopping one time, so I am doing this manual unblocking of the duct once a week. Because of this, I’m still on my first dust/debris bag as it has actually gotten a little debris in it. We only have 1 short hair cat, so we do have some pet hair, but not a ton of it. If they could fix this issue, I would give this product 5 stars. I’ve had 3 other irobot vacuums and this does the best job of keeping the floors clean. This is my first auto empty, I just wish that feature actually worked.;4
Ray;You Deserve This;March 7, 2024;United States;;5
chris;Disappointed. Lacks performance and longevity.;February 6, 2024;United States;Purchased Oct 2023. Within 3 months of usage the Ultra 8 started malfunctioning. 1. Rust ( look at the pics. Your mop pads will bleed rust from the machine to the mopping pads) 2. Yes, contacted customer services, they wouldn’t replace the item but they will “repair” it under the “warranty”. Found my own box, secured the packaging to prevent shilling damages, utilized their UPS label to their repair shop. 3. 4 weeks since submitting the initial claim and receiving the “repaired” vacuum. Take a look at the video I uploaded to determine if you think that’s mopping the floor… the mop is no longer making contact with the floor. Update March 2024: Vacuum was sent for repair, this took total of 3 weeks to receive the “repaired” vacuum. The rusted parts were replaced but the mop feature wouldn’t mop. Just made drops of water along the way. Emailed them again and they instructed me to mail it back to them so that they can send me a refurbished vacuum. This took another 3-4 weeks (that’s including emailing back and forth, shipping it back to them and receiving the refurbished item. The result is: it works but the machine is much louder when vacuuming. And the mop works 70% of the time. This is frustrating. Great vacuum when it’s brand new until you run into issues. This machine was not made to last. Sorry- I do not recommend. And their warranty process is very frustrating and time consuming.;3
Amazon Customer;Not the Unicorn Vacuum;February 29, 2024;United States;I was very excited to try out this vacuum after extensive research, and it was clear that this is the best of the best out there. I wanted so badly for this to be our Unicorn Vacuum that solved the following: 1. Vacuumed thoroughly , including wall edge 2. Washed tough stuck on messes 3. Avoids obstacles by moving around them without getting Stuck However, this was our reality 1. Vacuum suction did not meet expectations as crumbs ( big and small) would be left behind in random areas 2. Washed superficially but didn’t get messes that were mildly stuck on ( post baby throwing food on the floor) 3. Struggled with obstacles such as toys and shoes, it would skip the area entirely ( I hoped it would atleast vaccum around the object ) Ofcourse these issues could be solved by not having sticky messes on the floor that need to be mopped and having absolutely minimal obstacles in its way, however with kids this seemed unrealistic which for us defeats it’s purpose. I would recommend this product for someone with no pets/ kids that just needs a regular upkeep of standard messes.;3
DizziD;A huge upgrade from the S5 and impressively hassle-free to use even in a 6k sqft house;May 11, 2023;United States;"We decided to upgrade to the S8 Pro Max after using the S5 with great success for 3 years, and it basically took everything we liked about the predecessor and improved on it. As long as you're working within the type of environments that are good for floorbots (mostly hard floors and short rugs, and a reasonably controlled amount of clutter), this is the best one we've ever owned. Pros: - Initial mapping is VERY quick compared to previous versions - Slightly larger map/storage capacity for floorplans - Cleans faster and more effectively than the previous models - Very solid battery life for a very large house (650 sq feet takes about 25% of the battery and 1 hour) - Moderately quieter than predecessors - Mop cleaning system works very well and seems to eliminate the old ""dirty rag"" mopping approach - Good at avoiding things that will trip it up (rarely gets stuck - maybe once a month with daily use) - Dock system actually works and minimizes daily maintenance (the bin ends up surprisingly clean) - Doesn't seem to have any issues with pet hair (a German Shepherd and a Husky, so we're not messing around here!) - Locates missing shoes Cons: - Dust bags will not last the implied month in a large house with pets and $5 a month in vacuum bags seems a bit much - App alerts to refill/empty dock bags and reservoirs would have been helpful - Don't let it near a shag rug. Ever. - Map management (especially initial room division) is still clunky, but is better than before. - The inability to rotate ""spot cleaning"" zones makes them a lot less useful unless your house is perfectly square and facing a cardinal direction (see pic) - Still can't save cleaning zones for areas that you regularly spot clean. Good to know: - Dusbtin emptying is very loud - not louder than a normal vacuum, and perfectly reasonable - but not something you want to do at night or during dinner. - Disable schedules if you have a sick pet - obstacle avoidance is great but it still can't detect a puddle of yacked-up kibble and will track it all over your house. - Even in a fairly clean home, frequent mop washing (the 20 minute default is pretty good) will still go through a lot of water - check the tanks often. - You may want to stock up on dust bags - with 2 dogs and running about 2 hours a day, we are going through a bag every other week. It does do an admirable job packing them full, though.";5
jason;Best thing ever;April 16, 2024;United States;We have tried many different robotic cleaners and this one is the best by far.;5
In Awe;I absolutely L.O.V.E this Vacuum;August 14, 2023;United States;I waited for about 6 weeks to write this review because sometimes, a product works well at first but the more you use it the more you find its flaws! This vacuum is amazing! I have 3 dogs and 3 kids and this vacuum helps keep me sane. I run the vacuum and mop 4 days a week and just the vacuum 2 days. The other day I sweep and mop myself. Pros: * Easy to set up and quickly mapped out my house. * Takes very little maintenance. Just fill clean water and empty the dirty water every 3 or 4 days. I had a Shark combo robot previously and it couldn't even get thru 1 cleaning without me having to manually add water. If you leave the dirty water any longer than that it will smell. I didn't notice it from the machine but when you empty it, you will smell it. It has been 6 weeks and I have just today emptied the debris bag and I have 2 Aussies and a Golden Retriever that shed A LOT. * It really maintains itself, cleaning mop head every 15 minutes and self empties its dust bin. The Shark vacuum only self empties the dust bin if you are only vacuuming. If you are using the combo vacuum/mop, EVERYTHING is manual for the Shark. Roborock rocks with this feature. I do not have to do ANYTHING for days. * App is easy to use and makes suggestions for no go zones. * I can see what the vacuum is doing or any errors thru the app and sometimes can clear them remotely. Cons * Expensive but I think well worth the price * Like others have said, has a difficult time with cords, however, I bought cord organizers with boxes and ties from Amazon and fixed this issue. * Sometime gets stuck on my rug but usually I just start it again remotely and it unsticks itself I was worried about spending so much for a vacuum/mop but I am in love with this. I have had other robot vacuums and mops and this one is head and shoulders about the others. I did NOT get anything for free either. I paid full price for my Roborock.;5
Patricia Grau;I love it, save a lot of time of my day;March 25, 2024;United States;It is really good, the app shows you when you need to clean the tanks, which saves me a lot of time on cleaning. It doesn't get to the corners, and if there is a small carpet, it won't clean properly in that area.;5
NehaJ;easy to operate, fair cleaning, Self emptying;February 7, 2024;United States;;5
harmon;4g network;February 3, 2024;United States;If you have 5g for internet robot app will not work. Robot only good for up to 4g. I was shocked to learn this. I have to manually turn it on cause app on my phone doesn’t work. On a positive note the robot cleans and vacuums very well;4
Amazon Customer;Best thing since sliced bread!;March 25, 2024;United States;I would buy this product over and over again. We’ve had it for eight months and it has functioned perfectly. It vacuums great and mops quite well too. It is wonderful to have the floor clean even with a constantly shedding dog in the house.;5
Zack;Design flaws and overall inferior to roomba;April 6, 2024;United States;Comparisson to roomba i7. I switched my roomba for this model and put it in the same previous location as my roomba. Compared to roomba this has a harder time finding home and charging itself. It frequently misaligns and sits on the station without charging until its battery dies. 1-2x a week I have to manually realign it to get it to charge. Compared to roomba it also gets stuck more often under chairs, etc. The mop feature is great and the clean is better on the hardwood floors section. Design flaws with the water tank. The lid is designed so it doesnt stay open on its own. You cant set it in the sink to refill it, you have to manually hold it open the entire time - see video. Overall it is a good concept of a product, but the programming doesnt seem as good as roomba has several annoying design flaws.;3
Amanda Martin;Must Have!;January 3, 2024;United States;I previously had a iRobot Roomba vacuum and it was awful. Made a ton of racket, stuck constantly, etc. It really made me hate robot vacuums. I work at home and have been really busy so the floors always get on my nerves. We have 2 cats and a dog and the floor just always seems dirty. It stressed me out. So, i started researching robot vacuums once more. i came across this one and looked at the listing probably 5 times over the course of two months. It was so expensive but the reviews were glowing. So I took the plunge and am I glad I did! This vacuum is magnificent! It has rarely gotten stuck mostly on my very odd metal coffee table, the transition from moping to vacuuming on rugs is A+, it's rarely sucked up anything it's not supposed to, mainly hoodie strings my cats like to drag from hiding places. The map and room/zone set up is a piece of cake. The app response is almost immediate. I truly cannot say enough amazing things about it. I do not use their cleaner but other plant based cleaners in the tank and there are 0 streaks on my floors. BUY IT. I swear it's worth it.;5
Sarah;So amazing, everyone needs one!!!;March 8, 2024;United States;This mop and vacuum combo is just what this busy momma needs!! The app was super easy to set up and the device maps the whole house. With two floors, you are even able to just move it downstairs and have it map multiple floors.;5
Sydney;Worth the $$;September 4, 2023;United States;Let me start off by saying this was not an easy purchase decision for me. I have struggled to come to terms with spending this amount of money on a vacuum/mop, but it truly has increased my quality of life significantly. And that’s what money is for. I decided on this model because I did not want a camera going through my house based off of the reviews of the S7, so the S8 pro ultra it was. I also did not want a robovac that I had to manually switch the mop piece out, knowing that I would never do that. I read reviews for other robot vacuums and it sounds like all of them give out after about eight months so this felt like more of an investment. This brought me to Robbie the Roborock lol. This guy cleans to perfection. You think your house is clean until you empty the dirty water bin and realize you’ve been living in filth. I have a large dog who has short hair and Robbie the robot has no issue, slurping up all of his fur and any mud he brings inside. My dog typically goes after the vacuum, however he has no issue with Robbie especially once we did some desensitizing to it using lots of high-value treats. Outside of that my home has never looked cleaner, and I no longer feel embarrassed when friends come over and I start to notice little dust bunnies in the corners of rooms. You can tell when Robbie’s been working because the house shines and smells great. The only bad side of any vaccuum/mop machine The dirty water basin does not smell good when you empty it, so I am going to try the recommendation online which is to buy a toilet bowl gel stamp for the top of it. We will see how that goes. I’ve only had to empty it twice, though. I’ve had Robbie for a few months now and could not be more thrilled about the purchase. Highly recommend.;5
Jessica;Yes, it’s worth the money;December 20, 2023;United States;We have cherry wood floors. Constant footprints from kids, if I didn’t have a robot mop, I’d go crazy. Why this insanely expensive robot mop? We tried multiple brands and even different roborocks, none of them are as impressive as this guy. The other mops leave streaks, the tank runs out of water before finishing my home (the s8 pro ultra goes back to the base and refills itself), one mop tried to mop my area rugs (this mop can tell the difference between floor and rug and it picks up its mop pad and vacuums the rugs). This mop can run 3-4 nights before having to empty the dirty water tank or fill the clean water tank. The other mops throw down a lot of water on my wood, while this mop throws it down and sucks it back up which is better for my wood and also likely why it doesn’t streak. I feel that it is more hygienic- this mop goes back to the base frequently and rinses the mop pad. It also picks the mop pad up off the base so that it can dry. Seems more hygienic than reusing a wet, dirty mop pad that has been sitting wet for a few days. Yes, I would buy it again. Do people judge me when they find out how much this thing cost me? Apparently so. Oh well, I have a new best friend. :);5
